SampleID,Date,Month,Year,DayNight,OnOff,Timepoint,Completed,MissingT,Pool,Treatment,Heat,CO2YN,SA,Volume,DeltaVolume,Time.water.collected,Time.water.collected2,Temp,HannapH_raw,Salinity,DO,Light,HannapH,Raw.TA,CorrectedTA,CorrectedNN,CorrectedNitrite,CalculatedNitrate,Phosphate,NH4,pH,seacarbCO2,fCO2,HCO3,CO3,DIC,ALK,OmegaAragonite,OmegaCalcite
2199,7/8/19,July,2019,Day,On,1,Y,N,5,Warming + CO2,H,C,0.19,0.008,0.00775,9:38,9:38:00,16.3,-36,30.17,10.07,213,7.38,1903.49,1918.442004,1.03,0.0973,0.9327,1.14,6.519553073,8.113173543,11.9128074,321.8982713,1748.827609,157.7015873,1918.442004,2138.570141,2.47352957,3.883498231
2198,7/8/19,July,2019,Day,On,1,Y,N,7,Unmanipulated,N,N,0.45,0.028,0.02775,9:33,9:33:00,16.6,-80.1,30.35,11.39,232,8.14,1942.98,1941.286299,0.196,0,0.196,0.0543,2.608938547,7.378914406,67.48017041,1841.541042,1842.672292,31.1338369,1941.286299,1921.136267,0.488557273,0.766106865
2197,7/8/19,July,2019,Day,On,1,Y,N,8,Warming,H,N,0.23,0.007,0.00675,9:30,9:30:00,16.6,-59.2,30.3,7.54,183,7.78,1955.42,1953.715455,0.55,0.136,0.414,0.716,4.173184358,7.843472399,23.13324721,631.1340232,1840.085996,90.49621176,1953.715455,2065.423736,1.420316074,2.227535459
2196,7/8/19,July,2019,Day,On,1,Y,N,9,CO2,N,C,0.135,0.003,0.00275,9:25,9:25:00,16.3,-11.4,30.25,3.64,112,6.95,1953.68,1951.976972,3.48,0.378,3.102,4.36,19.98324022,8.344460674,6.736199427,182.1009513,1685.786288,259.4544845,1951.976972,2320.333035,4.068464382,6.38601822
2195,7/8/19,July,2019,Day,On,1,Y,N,10,Unmanipulated,N,N,0.14,0.0055,0.00525,9:21,9:21:00,16,-71,30.24,9.18,132,7.99,1734.24,1747.862537,1.89,0.0214,1.8686,1.2,5.804469274,7.677075141,31.10012504,833.1965366,1662.373117,54.38929452,1747.862537,1802.58171,0.852017025,1.338295005
2194,7/8/19,July,2019,Day,On,1,Y,N,11,Warming + CO2,H,C,0.32,0.014,0.01375,9:15,9:15:00,16.1,-70.6,30.47,8.19,186,7.98,1865.69,1880.345083,0.527,0.0118,0.5152,0.312,1.770949721,7.655488748,35.01114922,941.9867349,1789.096938,56.23699569,1880.345083,1931.118626,0.880605187,1.38193355
2193,7/8/19,July,2019,Day,On,1,Y,N,13,Warming,H,N,0.48,0.022,0.02175,9:10,9:10:00,16.2,-71.1,30.39,9.97,106,7.99,1922.06,1920.384535,1.43,0.367,1.063,0.912,2.888268156,7.627414834,38.11199192,1028.022898,1828.303656,53.96888672,1920.384535,1964.672299,0.845600159,1.327021462
2192,7/8/19,July,2019,Day,On,1,Y,N,15,CO2,N,C,0.11,0.005,0.00475,9:06,9:06:00,16.2,-12.5,30.46,8.57,167,6.97,2141.68,2139.813092,2.15,0.0067,2.1433,1.43,6.865921788,8.328353491,7.698854904,207.7476136,1856.391741,275.7224956,2139.813092,2517.769119,4.319105226,6.776659647
2191,7/8/19,July,2019,Day,On,1,Y,N,16,Warming,H,N,0.22,0.0195,0.01925,9:02,9:02:00,16,-55.7,30.31,6.6,98,7.72,1958.69,1974.075603,1.15,0,1.15,0.416,4.575418994,7.906182445,20.41629161,547.1811978,1850.849521,102.8097903,1974.075603,2105.647337,1.610171197,2.528618164
2186,7/8/19,July,2019,Day,On,1,Y,N,27,CO2,N,C,0.28,0.0125,0.01225,8:37,8:37:00,16.3,-27.2,30.34,8.15,127,7.23,2374.75,2372.679924,0.0939,0,0.0939,0.319,2.578651685,8.155222046,13.2417389,358.1452104,2145.3874,214.0507846,2372.679924,2653.438124,3.355514544,5.265506275
2183,7/8/19,July,2019,Day,On,1,Y,N,31,Unmanipulated,N,N,0.21,0.0065,0.00625,8:24,8:24:00,16.3,-66.8,30.46,8.44,106,7.92,1898.96,1913.876421,-0.583,0,0,0.459,6.117977528,7.715935317,30.79803223,833.5395827,1816.950295,66.12809398,1913.876421,1983.080018,1.036231196,1.625478461
2182,7/8/19,July,2019,Day,On,1,Y,N,33,Warming,H,N,0.49,0.025,0.02475,8:16,8:16:00,16.7,-47.3,30.19,5.18,113,7.57,2055.14,2071.283222,0.658,0,0.658,0.812,4.843930636,7.978724397,17.69795517,483.9809935,1924.241134,129.3441327,2071.283222,2240.880681,2.031477648,3.186389516
2181,7/8/19,July,2019,Day,On,1,Y,N,35,CO2,N,C,0.23,0.009,0.00875,8:11,8:11:00,17.3,-13.2,32.24,2.91,98,6.98,2923.47,2920.921604,-0.942,0,0,0.573,3.803468208,8.235220566,12.66625371,356.5511418,2572.237483,336.0178674,2920.921604,3346.841876,5.248141296,8.174127757
2180,7/8/19,July,2019,Day,On,1,Y,N,36,Warming + CO2,H,C,0.22,0.0195,0.01925,8:07,8:07:00,17.6,15.6,33.49,2.85,103,6.48,5197.68,5238.508022,0.604,0,0.604,1.32,2.508379888,8.670670723,6.769648213,193.5604103,3815.717325,1416.021049,5238.508022,6857.044059,22.0132782,34.16663199
1808,3/30/19,March,2019,Day,Off,1,Y,N,5,Warming + CO2,H,C,0.19,0.008,0.00775,12:33,12:33:00,10.5,-95.2,32.2,14.99,670,8.72,1752.59,1749.71,13.5,0.391,13.109,10.1,7.17,6.673145259,304.7271083,6947.243319,1441.01836,3.964531263,1749.71,1459.709007,0.060802074,0.096040031
1810,3/30/19,March,2019,Day,Off,1,Y,N,7,Unmanipulated,N,N,0.45,0.028,0.02775,12:45,12:45:00,9.3,-123.4,31.94,14.75,697,9.23,1382.26,1379.38,2.71,0,2.71,1.55,1.086,6.320548741,454.7593482,9948.278722,923.5512941,1.069357734,1379.38,927.42913,0.016376298,0.025936478
1811,3/30/19,March,2019,Day,Off,1,Y,N,8,Warming,H,N,0.23,0.007,0.00675,12:50,12:50:00,10.8,-121.6,31.82,19.92,229,9.19,1704.02,1701.14,3.88,0,3.88,1.83,1.552,6.314283125,552.254994,12687.07027,1147.499902,1.385104294,1701.14,1152.211243,0.021281982,0.033629806
1812,3/30/19,March,2019,Day,Off,1,Y,N,9,CO2,N,C,0.135,0.003,0.00275,12:53,12:53:00,7.7,-50.3,29.69,8.1,127,7.93,1965.16,1962.28,52,9.41,42.59,6.13,28.988,7.940587244,23.43989137,479.3280224,1859.224851,79.61525767,1962.28,2065.279074,1.22242809,1.953461207
1813,3/30/19,March,2019,Day,Off,1,Y,N,10,Unmanipulated,N,N,0.14,0.0055,0.00525,12:57,12:57:00,8.7,-89.6,31.33,15.74,251,8.63,1740.93,1738.05,27.9,2.65,25.25,6.88,8.472,6.860084269,219.7287781,4693.995203,1512.485979,5.835243169,1738.05,1534.02571,0.08942214,0.141987243
1861,3/31/19,March,2019,Day,Off,1,Y,N,11,Warming + CO2,H,C,0.32,0.014,0.01375,13:25,13:25:00,9,-95.9,31.95,17.97,924,8.74,1840.6,1837.72,6.96,0,6.96,4.37,8.015,6.714712678,305.8458593,6623.950702,1527.541218,4.332922216,1837.72,1542.614437,0.066317831,0.105081654
1815,3/30/19,March,2019,Day,Off,1,Y,N,13,Warming,H,N,0.48,0.022,0.02175,13:06,13:06:00,8.8,-102.2,31.62,15.69,146,8.86,1520.32,1517.44,8.12,0,8.12,2.92,2.711,6.621845503,303.0012938,6505.773835,1211.707457,2.731249158,1517.44,1221.609428,0.041828951,0.066355735
1816,3/30/19,March,2019,Day,Off,1,Y,N,15,CO2,N,C,0.11,0.005,0.00475,13:10,13:10:00,9.4,-82.3,29.95,13.26,136,8.5,1788.03,1785.15,33,2.83,30.17,5.26,9.945,7.054054358,150.4331512,3264.189974,1624.98697,9.729878848,1785.15,1655.30361,0.149804296,0.238549834
1817,3/30/19,March,2019,Day,Off,1,Y,N,16,Warming,H,N,0.22,0.0195,0.01925,13:14,13:14:00,8.1,-85.7,30.89,12.2,158,8.56,1928.62,1925.74,27.6,1.97,25.63,3.18,1.989,6.983181758,192.577485,4020.511133,1724.630126,8.532389138,1925.74,1749.692979,0.130765664,0.208081692
1869,3/31/19,March,2019,Day,Off,1,Y,N,27,CO2,N,C,0.28,0.0125,0.01225,12:55,12:55:00,12.5,-104,31.98,16.99,717,8.86,1753.73,1750.85,0.801,0,0.801,0.752,2.836,6.516236852,392.2496904,9526.91504,1355.805235,2.79507419,1750.85,1363.824944,0.043090022,0.067849437
1873,3/31/19,March,2019,Day,Off,1,Y,N,31,Unmanipulated,N,N,0.21,0.0065,0.00625,12:42,12:42:00,7.1,-99.4,31.41,16.07,96,8.82,1589.57,1586.69,0.566,0,0.566,0.778,3.621,6.719826544,273.944051,5542.013635,1309.30711,3.438838927,1586.69,1319.493601,0.052553897,0.083631473
