SampleID,Date,Month,Year,DayNight,OnOff,Timepoint,Pool,Treatment,Heat,CO2YN,Time.water.collected,Temp,HannapH,Salinity,DO,Light,HannapH_Tot,SpecpH_tot,Raw_TA,Corrected_TA,Calcite,Aragonite,Volume,seacarbCO2,fCO2,pCO2,fCO2pot,HCO3,CO3,DIC,ALK,OmegaAragonite,OmegaCalcite
2241,7/8/19,July,2019,Day,On,3,5,Warming + CO2,H,C,13:25,18.1,-60.7,30.5,18.39,296,7.79,7.59,1865.23,1879.88147,1.925341279,1.232673312,8,23.09129448,658.9356573,661.2337165,658.9356573,1683.089688,77.87125804,1784.05224,1879.88147,1.228077637,1.918163189
2240,7/8/19,July,2019,Day,On,3,7,Unmanipulated,N,N,13:20,18.6,-112.3,30.51,19.82,242,8.68,8.49,1697.57,1710.904493,7.930177007,5.083467943,28,1.53276622,44.37375323,44.52743482,44.37375323,876.9260618,321.0372812,1199.496109,1710.904493,5.072578611,7.913189733
2239,7/8/19,July,2019,Day,On,3,8,Warming,H,N,13:15,18.5,-77.8,30.78,11.12,308,8.09,7.97,1785.59,1799.615894,3.378133956,2.166676475,7,9.853699813,284.8713047,285.8594164,284.8713047,1449.929534,136.8517304,1596.634964,1799.615894,2.15932907,3.366678391
2238,7/8/19,July,2019,Day,On,3,9,CO2,N,C,13:10,17.7,0.7,30.36,8.48,160,6.73,6.89,2477.24,2496.698837,0.242048698,0.154755989,3,393.6881306,11096.53935,11135.88655,11096.53935,2473.526116,9.782843227,2876.99709,2496.698837,0.154124233,0.241060591
2237,7/8/19,July,2019,Day,On,3,10,Unmanipulated,N,N,13:05,17.8,-93.4,30.62,12.49,141,8.36,7.98,1278.51,1288.552757,3.668588651,2.34792212,5.5,3.237658469,91.65294506,91.97358981,91.65294506,872.0480434,148.6578388,1023.943541,1288.552757,2.340760261,3.657398371
2236,7/8/19,July,2019,Day,On,3,11,Warming + CO2,H,C,13:00,17.9,-85.5,30.72,12.15,308,8.23,8.13,1535.37,1547.430404,3.629800817,2.324330499,14,5.775345073,164.0548101,164.6280763,164.0548101,1156.915776,147.1256081,1309.816729,1547.430404,2.316660431,3.617822812
2228,7/8/19,July,2019,Day,On,3,27,CO2,N,C,12:22,18.1,-17.2,30.57,16.28,255,7.04,7.18,2271.34,2289.181483,0.45728312,0.292830244,12.5,173.0243182,4939.335595,4956.644307,4939.335595,2244.308257,18.49777512,2435.83035,2289.181483,0.291647673,0.45543642
2235,7/8/19,July,2019,Day,On,3,13,Warming,H,N,12:56,17.4,-105.9,30.56,17.89,273,8.58,8.46,1644.44,1643.006537,6.519251823,4.167702345,22,2.145753142,60.02061509,60.23164682,60.02061509,950.0322666,264.3236366,1216.501656,1643.006537,4.156762194,6.502138877
2234,7/8/19,July,2019,Day,On,3,15,CO2,N,C,12:51,17.5,6.9,30.46,22.76,254,6.63,6.71,2567.01,2587.173985,0.198462476,0.126867285,5,516.3925247,14478.64145,14530.30047,14478.64145,2568.377188,8.028039252,3092.797752,2587.173985,0.126339903,0.197637476
2233,7/8/19,July,2019,Day,On,3,16,Warming,H,N,12:46,17.2,-64.8,30.39,6.65,240,7.87,7.76,1817.92,1832.199848,2.136178668,1.364312335,19.5,18.79440933,522.1592773,524.0007655,522.1592773,1612.372961,86.43645417,1717.603824,1832.199848,1.359110671,2.128034137
