Month,Timepoint,Pool,Treatment,Heat,CO2,DayNight,Minimum,Maximum,Range,Median,Average,DailyAverage,Max90Perentile,Max95Percentile,Max99Percentile,Min10Percentile,DailyMaximum,Daily90MaxPercentile,Daily95MaxPercentile,Daily99MaxPercentile,DailyMinumim,DailyRange,Volume
March,0,Pool5,Warming + CO2,H,C,Day,1.071,13.642,12.571,6.788,7.374715064,7.118223265,11.807,12.654,13.28868,4.9418,8.939678571,8.677157143,8.794148214,8.917723929,5.343821429,3.595857142,8
July,3,Pool5,Warming + CO2,H,C,Day,14.17,27.112,12.942,17.843,18.36495377,18.39921166,22.513,23.472,25.623,15.27,22.17116129,21.61236774,21.97085484,22.14031484,15.3883871,6.78277419,8
September,6,Pool5,Warming + CO2,H,C,Day,12.001,23.569,11.568,15.414,16.00951823,15.91438356,20.6668,22.13,23.37768,13.161,18.88736364,18.41045,18.683,18.84623909,13.427,5.46036364,8
March,0,Pool7,Unmanipulated,N,N,Day,-0.648,10.492,11.14,6.611,6.400800311,6.196941179,8.668,9.608,10.296,4.35,7.58175,7.373217857,7.477728571,7.542653571,4.976214286,2.605535714,28
July,3,Pool7,Unmanipulated,N,N,Day,14.266,24.219,9.953,17.843,18.11564201,18.13740265,21.437,22.094,23.436,15.509,20.78290323,20.40503871,20.6123371,20.74301161,15.79196774,4.99093549,28
September,6,Pool7,Unmanipulated,N,N,Day,11.759,20.126,8.367,14.505,14.97021878,14.88294711,18.3828,19.27,19.96,12.678,16.72681818,16.48811364,16.611825,16.70117773,13.34845455,3.37836363,28
March,0,Pool8,Warming,H,N,Day,-0.958,15.509,16.467,7.015,7.622223044,7.299612558,13.353,14.4234,15.18268,4.428,9.934142857,9.599857143,9.796980357,9.899388929,4.688857143,5.245285714,7
July,3,Pool8,Warming,H,N,Day,14.146,32.381,18.235,19.127,19.77806945,19.82876657,25.258,27.284,29.89,15.485,25.01951613,24.20696774,24.69178871,24.96435355,15.57670968,9.44280645,7
September,6,Pool8,Warming,H,N,Day,11.005,25.574,14.569,15.915,16.55609617,16.45314116,22.5298,23.521,25.113,12.7822,20.22031818,19.74165455,20.01236364,20.17286955,13.07840909,7.14190909,7
March,0,Pool9,CO2 Addition,N,C,Day,1.208,9.188,7.98,6.611,6.372728299,6.219697561,8.22,8.543,8.916,4.272,7.475857143,7.192032143,7.361055357,7.453381786,5.112571429,2.363285714,3
July,3,Pool9,CO2 Addition,N,C,Day,14.385,21.461,7.076,16.582,16.8000974,16.80104247,18.818,19.984,20.77,15.031,19.03280645,18.51000323,18.78412581,18.97608581,15.19529032,3.83751613,3
September,6,Pool9,CO2 Addition,N,C,Day,12.025,17.605,5.58,14.266,14.40198314,14.35690424,16.201,16.987,17.391,12.871,15.65945455,15.43161364,15.54122727,15.63500318,13.36422727,2.29522728,3
March,0,Pool10,Unmanipulated,N,N,Day,0.742,10.614,9.872,6.864,6.664342546,6.45440635,9.114,9.657,10.20568,4.141,7.94575,7.6908,7.8205625,7.918000357,5.08225,2.8635,5.5
July,3,Pool10,Unmanipulated,N,N,Day,13.954,23.593,9.639,16.463,16.96881767,17.00544089,20.079,21.139,22.824,14.84,19.60209677,19.1373,19.39702742,19.56343742,14.9816129,4.62048387,5.5
September,6,Pool10,Unmanipulated,N,N,Day,11.88,17.962,6.082,14.17,14.41471057,14.36725015,16.7418,17.272,17.748,12.534,15.72509091,15.53916364,15.62644091,15.69818773,13.20195455,2.52313636,5.5
March,0,Pool11,Warming + CO2,H,C,Day,0.962,10.712,9.75,6.737,6.608650837,6.393873654,9.262,9.928,10.443,3.958,7.75875,7.492735714,7.6019875,7.700379643,5.215571429,2.543178571,14
July,3,Pool11,Warming + CO2,H,C,Day,14.29,23.352,9.062,16.796,17.18944894,17.20826666,20.007,20.996,22.669,15.199,19.79335484,19.29159355,19.54470484,19.74355387,15.3,4.49335484,14
