Month,Timepoint,Treatment,mean,n,sd,se
July,3,Unmanipulated,1.863378467,3,3.227466179,1.863378467
July,3,CO2 Added,18.11897281,4,32.0821768,16.0410884
July,3,Warmed,13.38042113,4,24.92573682,12.46286841
July,3,CO2 Added + Warmed,46.31711466,3,50.40526692,29.10149442
March,0,Unmanipulated,9.397538703,3,16.2770145,9.397538703
March,0,CO2 Added,2.948249778,4,5.896499555,2.948249778
March,0,Warmed,13.15602987,4,11.95816435,5.979082174
March,0,CO2 Added + Warmed,3.369720253,3,3.172365676,1.831566177
September,6,Unmanipulated,0,3,0,0
September,6,CO2 Added,59.96672125,3,10.9290445,6.309886787
September,6,Warmed,16.25432311,3,28.15331346,16.25432311
September,6,CO2 Added + Warmed,48.95140818,2,0.07971371,0.056366105
