Month,Timepoint,Treatment,mean,n,sd,se
July,3,Both,79.05704755,3,36.27425771,20.94295245
July,3,CO2,77.93432456,4,21.49707741,10.7485387
July,3,Control,80.86895782,3,8.292185745,4.787495672
July,3,Heat,45.23466267,4,32.46638646,16.23319323
March,0,Both,56.47064132,3,43.93389982,25.36524889
March,0,CO2,66.2691803,4,7.54131957,3.770659785
March,0,Control,81.98997123,3,4.41720499,2.55027449
March,0,Heat,50.82299527,4,31.40280624,15.70140312
September,6,Both,85.77538136,2,3.52410694,2.491919915
September,6,CO2,97.88620059,3,6.72354444,3.881840192
September,6,Control,58.09680521,3,28.71201534,16.57688979
September,6,Heat,83.589962,3,13.78011812,7.955954909
