SampleID,Date,Month,Year,DayNight,OnOff,Timepoint,Completed,MissingT,Pool,Treatment,Heat,CO2YN,SA,Volume,DeltaVolume,Time.water.collected,Time.water.collected2,Temp,HannapH_raw,Salinity,DO,Light,HannapH,Raw.TA,CorrectedTA,CorrectedNN,CorrectedNitrite,CalculatedNitrate,Phosphate,NH4,pH,seacarbCO2,fCO2,HCO3,CO3,DIC,ALK,OmegaAragonite,OmegaCalcite
2257,7/9/19,July,2019,Night,On,1,Y,N,5,Warming + CO2,H,C,0.19,0.008,0.00775,22:45,22:45:00,15.5,-24.2,30.48,3.29,0,7.18,2075.71,2055.338247,1.62,0.311,1.309,0.851,7.972067039,8.221365422,9.906627797,261.7985365,1837.624996,207.8066234,2055.338247,2342.699291,3.247395481,5.102729143
2256,7/9/19,July,2019,Night,On,1,Y,N,7,Unmanipulated,N,N,0.45,0.028,0.02775,22:49,22:49:00,15.6,-56.5,30.55,6.25,0,7.74,2087.66,2067.170966,0.497,0,0.497,0.853,3.167597765,7.87857237,23.00299542,609.9642668,1943.778637,100.3893332,2067.170966,2191.534863,1.568943567,2.464278711
2255,7/9/19,July,2019,Night,On,1,Y,N,8,Warming,H,N,0.23,0.007,0.00675,22:53,22:53:00,15.6,-53.3,30.57,5.22,0,7.69,2089.47,2087.648604,0.558,0.0474,0.5106,0.84,3.837988827,7.913735786,21.35013148,566.1988183,1956.665829,109.6326438,2087.648604,2226.341904,1.713291682,2.690842106
2254,7/9/19,July,2019,Night,On,1,Y,N,9,CO2,N,C,0.135,0.003,0.00275,22:57,22:57:00,15.5,-20.9,30.4,2.87,0,7.12,2065.76,2063.959272,2.68,0.282,2.398,3.36,17.07821229,8.248611761,9.294919628,245.5236149,1834.254915,220.4094373,2063.959272,2371.480325,3.445221007,5.414870586
2253,7/9/19,July,2019,Night,On,1,Y,N,10,Unmanipulated,N,N,0.14,0.0055,0.00525,23:02,23:02:00,15.3,-28.5,30.37,1.82,0,7.25,2041.46,2021.424389,0.672,0,0.672,1.01,2.284916201,8.191023391,10.58764164,277.9384247,1820.821073,190.0156747,2021.424389,2284.96876,2.968479094,4.668018706
2252,7/9/19,July,2019,Night,On,1,Y,N,11,Warming + CO2,H,C,0.32,0.014,0.01375,23:07,23:07:00,15.4,-37.2,30.52,2.84,0,7.41,2121.98,2101.154137,0.366,0.125,0.241,1.06,2.720670391,8.090966914,14.04767881,370.1956954,1926.232207,160.8742511,2101.154137,2318.677475,2.512840656,3.948891989
2251,7/9/19,July,2019,Night,On,1,Y,N,13,Warming,H,N,0.48,0.022,0.02175,23:11,23:11:00,15.6,-46.5,30.46,5.17,0,7.57,2059.46,2039.24773,1.2,0.112,1.088,0.612,2.329608939,8.004264312,16.78138368,444.7643308,1892.233478,130.2328686,2039.24773,2212.345335,2.035949312,3.198639614
2250,7/9/19,July,2019,Night,On,1,Y,N,15,CO2,N,C,0.11,0.005,0.00475,23:14,23:14:00,15.4,3.1,31,2.81,0,6.7,2333.58,2310.67742,0.706,0,0.706,1.58,2.396648045,8.544759184,4.74535561,125.3887896,1859.129723,446.8023417,2310.67742,2907.239822,6.967901182,10.93481466
2249,7/9/19,July,2019,Night,On,1,Y,N,16,Warming,H,N,0.22,0.0195,0.01925,23:20,23:20:00,15.5,-32.4,30.51,3,0,7.32,2311.5,2288.814121,4.97,0.135,4.835,1.27,7.703910615,8.121157262,14.16733143,374.4571033,2087.11705,187.5297393,2288.814121,2537.34132,2.93024533,4.603971947
2244,7/9/19,July,2019,Night,On,1,N,T2,27,CO2,N,C,0.28,0.0125,0.01225,23:41,23:41:00,15.9,-21.2,30.48,5.87,0,7.12,2121.73,2100.90659,0.212,0.000709,0.211291,0.342,2.466292135,8.245630962,9.420354963,251.9601435,1865.020354,226.465881,2100.90659,2411.641554,3.5436781,5.56339817
2294,7/10/19,July,2019,Night,On,1,Y,N,31,Unmanipulated,N,N,0.21,0.0065,0.00625,23:28,23:28:00,16.2,-36.4,29.57,3.37,0,7.39,1943.65,1958.917463,2.36,0.0445,2.3155,0.901,8.365168539,8.117714642,12.15215381,326.3002407,1787.017097,159.7482125,1958.917463,2179.104874,2.509368049,3.94814266
2293,7/10/19,July,2019,Night,On,1,Y,N,33,Warming,H,N,0.49,0.025,0.02475,23:23,23:23:00,16.2,-40.2,29.59,3.6,0,7.45,1961.72,1977.129403,0.331,0,0.331,0.459,4.843930636,8.084881813,13.2974259,357.0918474,1813.447534,150.3844429,1977.129403,2182.072896,2.3621402,3.71625795
2292,7/10/19,July,2019,Night,On,1,Y,N,35,CO2,N,C,0.23,0.009,0.00875,23:19,23:19:00,16.9,-18.6,31.08,6.98,0,7.07,3131.61,3156.208945,0.585,0,0.585,0.269,0.971098266,8.191275247,15.69088388,433.761909,2821.668798,318.8492634,3156.208945,3548.695646,4.995953209,7.812194407
2291,7/10/19,July,2019,Night,On,1,Y,N,36,Warming + CO2,H,C,0.22,0.0195,0.01925,23:14,23:14:00,17,-7,31.65,7.63,0,6.87,3569.58,3597.61922,0.796,0,0.796,1.81,3.569832402,8.320126494,12.72964541,354.0495419,3104.383327,480.5062477,3597.61922,4181.773421,7.515233195,11.73080322
