SampleID,Date,Month,Year,DayNight,OnOff,Timepoint,Completed,MissingT,Pool,Treatment,Heat,CO2YN,SA,Volume,DeltaVolume,Time.water.collected,Time.water.collected2,Temp,HannapH_raw,Salinity,DO,Light,HannapH,SpecpH_tot,Raw_TA,Corrected_TA,Calcite,Aragonite,Raw.TA,CorrectedTA,CorrectedNN,CorrectedNitrite,CalculatedNitrate,Phosphate,NH4,Date_Time,TADeltaTime,DeltaTime,DeltaNN,DeltaNH4,DeltaPO,DeltapH,DeltaTA_N_Norm,NEC.mmol.m2.hr,seacarbCO2,fCO2,pCO2,fCO2pot,HCO3,CO3,DIC,ALK,OmegaAragonite,OmegaCalcite
2276,7/9/19,July,2019,Night,On,3,N,T2,27,CO2 Addition,N,C,0.28,0.0125,0.01175,2:18,2:18:00,15.9,2.3,30.62,3.15,0,6.71,6.9,2195.17,2193.256465,0.193990053,0.123615538,2195.17,2193.256465,0.0695,0.0763,0,0.348,2.073033708,7/9/19 2:18,92.349875,2.616666667,-0.1425,-0.393258427,0.006,-0.41,-92.08711657,-0.7553982,376.4380697,10076.18893,10112.69515,10076.18893,2174.258435,7.71850249,2558.415008,2193.256465,0.120721298,0.189448119
2285,7/9/19,July,2019,Night,On,3,Y,N,10,Unmanipulated,N,N,0.14,0.0055,0.00475,1:40,1:40:00,15.3,-18.8,30.29,2.37,0,7.09,7.23,2147.75,2145.877801,0.44,0.28,2147.75,2145.877801,-0.0269,0,0,4.04,2.675977654,7/9/19 1:40,124.453412,2.633333333,-0.6989,0.391061453,3.03,-0.16,-119.4833735,-0.787431622,154.1796291,4045.594738,4060.266355,4045.594738,2099.453626,17.32705431,2270.960309,2145.877801,0.270755847,0.425874121
2284,7/9/19,July,2019,Night,On,3,Y,N,11,Warming + CO2,H,C,0.32,0.014,0.01325,1:45,1:45:00,15.3,-23.8,30.57,3.09,0,7.17,7.3,2093.04,2108.371,0.52,0.33,2093.04,2108.371,0.336,0.0419,0.2941,1.13,2.273743017,7/9/19 1:45,7.216863,2.633333333,-0.03,-0.446927374,0.07,-0.24,-6.659935626,-0.053564337,125.2450521,3291.507774,3303.43472,3291.507774,2056.421648,20.5496978,2202.216398,2108.371,0.32082897,0.504212898
2283,7/9/19,July,2019,Night,On,3,Y,N,13,Warming,H,N,0.48,0.022,0.02125,1:49,1:49:00,15.4,-28.7,30.58,2.92,0,7.26,7.35,2071.84,2087.1548,0.63,0.4,2071.84,2087.1548,0.76,0.00698,0.75302,1.05,1.43575419,7/9/19 1:49,47.90707,2.633333333,-0.44,-0.893854749,0.438,-0.31,-46.57721525,-0.400526281,99.96071353,2635.126917,2644.656414,2635.126917,2024.12571,24.98651802,2149.072941,2087.1548,0.39021143,0.61310303
2282,7/9/19,July,2019,Night,On,3,Y,N,15,CO2 Addition,N,C,0.11,0.005,0.00425,1:53,1:53:00,15.5,-5.5,30.58,3.75,0,6.85,6.96,2256.36,2271.6586,0.27,0.17,2256.36,2271.6586,2.68,0,2.68,1.89,2.508379888,7/9/19 1:53,-39.01882,2.65,1.974,0.111731843,0.31,0.15,41.50108816,0.309496323,284.1579926,7513.519457,7540.802525,7513.519457,2243.766121,10.81709309,2538.741206,2271.6586,0.168984101,0.265451285
2281,7/9/19,July,2019,Night,On,3,Y,N,16,Warming,H,N,0.22,0.0195,0.01875,1:57,1:57:00,15.4,-22,30.65,2.65,0,7.14,7.31,2276.95,2274.965177,0.52,0.33,2276.95,2274.965177,1.2,0,1.2,0.841,3.067039106,7/9/19 1:57,-13.848944,2.616666667,-3.77,-4.636871509,-0.429,-0.18,13.85781551,0.230871648,144.6335326,3814.264533,3828.076162,3814.264533,2223.270056,20.8557723,2388.759361,2274.965177,0.325627817,0.511523937
2306,7/10/19,July,2019,Night,On,3,Y,N,31,Unmanipulated,N,N,0.21,0.0065,0.00575,2:16,2:16:00,15.6,-21.2,29.67,2.43,0,7.13,7.1,2064.49,2062.690379,0.46,0.29,2064.49,2062.690379,0.129,0.00519,0.12381,1.07,3.814606742,7/10/19 2:16,103.772916,2.8,-2.231,-4.550561797,0.169,-0.26,-101.1153542,-0.505770232,135.02609,3562.935194,3575.800516,3562.935194,2016.713457,18.17128636,2169.910833,2062.690379,0.284761353,0.448480466
2305,7/10/19,July,2019,Night,On,3,Y,N,33,Warming,H,N,0.49,0.025,0.02425,2:11,2:11:00,15.7,-22.5,29.52,2.02,0,7.15,7.07,2146.15,2125.086924,0.5,0.31,2146.15,2125.086924,-0.303,0,0,1.67,1.202312139,7/10/19 2:11,147.957521,2.8,-0.634,-3.641618497,1.211,-0.3,-142.5279025,-1.288555603,132.6083075,3506.762378,3519.408053,3506.762378,2075.356205,19.58041848,2227.544931,2125.086924,0.307081385,0.483763036
2304,7/10/19,July,2019,Night,On,3,Y,N,35,CO2 Addition,N,C,0.23,0.009,0.00825,2:08,2:08:00,16.3,10.1,31.25,1.86,0,6.58,6.89,3245.99,3243.160462,0.22,0.14,3245.99,3243.160462,0.827,0,0.827,0.817,0.971098266,7/10/19 2:08,86.951517,2.816666667,0.242,0,0.548,-0.49,-85.613517,-0.557671737,740.9990389,20143.00932,20216.41532,20143.00932,3222.66195,8.748275305,3972.409264,3243.160462,0.136709078,0.21396416
2303,7/10/19,July,2019,Night,On,3,Y,N,36,Warming + CO2,H,C,0.22,0.0195,0.01875,2:05,2:05:00,16.4,3.2,31.57,2.72,0,6.7,6.78,3374.46,3341.341855,0.3,0.19,3374.46,3341.341855,0.333,0,0.333,0.486,2.843575419,7/10/19 2:05,-256.277365,2.85,-0.463,-0.726256983,-1.324,-0.17,253.892622,3.883554909,574.8073725,15699.63014,15756.49919,15699.63014,3313.554795,11.99784783,3900.360015,3341.341855,0.187328552,0.292871164
