ID,Pool,Month,Timepoint,Treatment,Heat,CO2,Shell_ID,Depth,Length,Width,Mass,Strength,Strength.Stand,Valve,ThreeTrials,Volume
Mussel11,11,September,6,Both,H,C,P11,8.2,22.2,9.5,1.5403,69.30347,3.121777928,R,Y,14
Mussel5,5,September,6,Both,H,C,P5,9.4,24.9,11.6,1.8291,84.019,3.374257028,R,Y,8
Mussel15,15,September,6,CO2,N,C,P15,7.7,21.3,10,1.3166,21.35288,1.002482629,R,Y,5
Mussel27,27,September,6,CO2,N,C,P27,7.9,21.9,11.8,1.2956,13.33,0.608675799,L,Y,12.5
Mussel10,10,September,6,Control,N,N,P10,8.1,21.1,11.6,1.2146,56.99135,2.701011848,R,Y,5.5
Mussel31,31,September,6,Control,N,N,P31,7.1,20.6,9.1,1.0093,38.76041,1.881573301,R,Y,6.5
Mussel7,7,September,6,Control,N,N,P7,7.6,20.8,11.2,1.1501,45.16442,2.171366346,R,Y,28
Mussel13,13,September,6,Heat,H,N,P13,7.9,20.3,10.1,1.3295,37.18351,1.8317,R,Y,22
Mussel33,33,September,6,Heat,H,N,P33,7.8,22.6,10.4,1.3389,61.80153,2.734580973,L,Y,25
Mussel8,8,September,6,Heat,H,N,P8,8.5,21.3,10.6,1.1782,31.39663,1.474020188,L,Y,7
Mussel10,10,July,3,Control,N,N,P10,9.6,26,10.6,1.5782,62.42072,2.400796923,R,Y,5.5
Mussel11,11,July,3,Both,H,C,P11,8.3,24.4,13.2,1.7501,52.97356,2.171047541,R,Y,14
Mussel13,13,July,3,Heat,H,N,P13,8.7,24,12.1,1.3505,56.54516,2.356048333,R,Y,22
Mussel15,15,July,3,CO2,N,C,P15,8.2,25.9,11.8,1.8994,67.75587,2.616056757,R,Y,5
Mussel16,16,July,3,Heat,H,N,P16,7.7,20.9,10.7,1.0477,31.47446,1.505955024,R,N,19.5
Mussel27,27,July,3,CO2,N,C,P27,8.1,21.6,11.7,1.1814,21.65825,1.002696759,R,Y,12.5
Mussel31,31,July,3,Control,N,N,P31,8.5,23.8,10,1.5132,63.78859,2.680192857,R,Y,6.5
Mussel33,33,July,3,Heat,H,N,P33,7.9,22.5,10.6,1.1121,42.58917,1.892852,R,Y,25
Mussel35,35,July,3,CO2,N,C,P35,8.1,23.6,12.5,1.4706,44.63088,1.891138983,R,N,9
Mussel36,36,July,3,Both,H,C,P36,6.4,22.4,13.6,1.0198,12.5962,0.562330357,R,N,19.5
Mussel5,5,July,3,Both,H,C,P5,9.6,24,10.8,2.2474,56.71771,2.363237917,R,Y,8
Mussel7,7,July,3,Control,N,N,P7,6.5,22.4,11.2,1.4326,57.11858,2.549936607,R,Y,28
Mussel8,8,July,3,Heat,H,N,P8,7.7,26,11.4,1.2525,45.12775,1.735682692,R,Y,7
Mussel9,9,July,3,CO2,N,C,P9,9.5,28.6,12.3,2.0132,32.82577,1.147754196,L,N,3
Mussel10,10,March,0,Control,N,N,P10,7.67,20.22,10.33,1.0226,49.90796,2.46824728,R,Y,5.5
Mussel11,11,March,0,Both,H,C,P11,9.28,23.18,11.36,1.4492,54.08065,2.33307377,R,Y,14
Mussel13,13,March,0,Heat,H,N,P13,8.3,20.41,11.53,1.3003,21.56943,1.056806957,L,Y,22
Mussel15,15,March,0,CO2,N,C,P15,8.28,23.22,11.51,0.8479,35.60247,1.533267442,R,Y,5
Mussel16,16,March,0,Heat,H,N,P16,7.82,19.5,10.34,0.8704,26.42477,1.35511641,R,N,19.5
Mussel27,27,March,0,CO2,N,C,P27,9.58,22.72,11.49,1.4262,35.67688,1.570285211,R,Y,12.5
Mussel31,31,March,0,Control,N,N,P31,8.06,21.77,10.15,1.1531,58.40498,2.682819476,R,Y,6.5
Mussel33,33,March,0,Heat,H,N,P33,8.59,23.4,11.78,1.2414,25.65148,1.096217094,L,Y,25
Mussel35,35,March,0,CO2,N,C,P35,7.47,21.6,11.1,1.114,49.9185,2.311041667,R,N,9
Mussel36,36,March,0,Both,H,C,P36,10.4,22.93,11.37,1.6553,54.20309,2.363850414,R,N,19.5
Mussel5,5,March,0,Both,H,C,P5,8.5,20.7,11.52,1.0359,15.46534,0.747117874,R,Y,8
Mussel7,7,March,0,Control,N,N,P7,7.66,22.65,10.99,1.4471,31.70247,1.39966755,R,Y,28
Mussel8,8,March,0,Heat,H,N,P8,7.33,20.6,10.92,0.9815,31.83405,1.545342233,R,Y,7
Mussel9,9,March,0,CO2,N,C,P9,8.19,23.51,10.35,1.049,23.93877,1.018237771,R,N,3
