Month,Timepoint,Mussel.ID,Pool,Treatment,Heat,CO2,Valve,Side,ThreeTrials,Outer_TA,Corroded_Area,Uncorroded_Area,Per_Corroded,Per_Uncorroded,SL,Gam_Corr,Volume
March,0,P5,5,Both,H,C,R,In,Y,397.458,0,397.458,0,100,20.73,1.57282,8
March,0,P11,11,Both,H,C,R,In,Y,427.649,26.936,400.713,6.298623404,93.7013766,23.18,6.298623404,14
March,0,P36,36,Both,H,C,R,In,N,387.137,14.752,372.385,3.810537355,96.18946265,22.93,3.810537355,19.5
March,0,P7,7,Control,N,N,R,In,Y,391.826,110.466,281.36,28.19261611,71.80738389,22.65,28.19261611,28
March,0,P10,10,Control,N,N,R,In,Y,324.949,0,324.949,0,100,20.22,1.57282,5.5
March,0,P31,31,Control,N,N,R,In,Y,378.022,0,378.022,0,100,21.77,1.57282,6.5
March,0,P8,8,Heat,H,N,R,In,Y,355.498,87.3,268.198,24.55710018,75.44289982,20.6,24.55710018,7
March,0,P13,13,Heat,H,N,R,In,Y,355.256,0,355.256,0,100,20.41,1.57282,22
March,0,P16,16,Heat,H,N,L,In,N,316.093,69.287,246.806,21.91981474,78.08018526,19.5,21.91981474,19.5
March,0,P9,9,CO2,N,C,R,In,Y,342.498,0,342.498,0,100,23.51,1.57282,3
March,0,P15,15,CO2,N,C,R,In,Y,404.287,0,404.287,0,100,23.22,1.57282,5
March,0,P27,27,CO2,N,C,R,In,Y,361.947,0,361.947,0,100,22.72,1.57282,12.5
July,3,P7,7,Control,N,N,R,In,Y,397.071,0,397.071,0,100,22.4,1.57282,28
July,3,P10,10,Control,N,N,R,In,Y,405.124,0,405.124,0,100,26,1.57282,5.5
July,3,P31,31,Control,N,N,R,In,Y,338.99,18.95,320.04,5.590135402,94.4098646,23.8,5.590135402,6.5
July,3,P5,5,Both,H,C,R,In,Y,418.345,162.951,255.394,38.95134399,61.04865601,24,38.95134399,8
July,3,P11,11,Both,H,C,R,In,Y,52,0,52,0,100,24.2,1.57282,14
July,3,P36,36,Both,H,C,R,In,N,470.741,470.741,0,100,0,23.6,100,19.5
March,0,P33,33,Heat,H,N,L,In,Y,437.337,26.884,410.453,6.147204558,93.85279544,23.4,6.147204558,25
July,3,P8,8,Heat,H,N,R,In,Y,358.3,0,358.3,0,100,26,1.57282,7
July,3,P13,13,Heat,H,N,R,In,Y,373.97,189.664,184.306,50.71636762,49.28363238,24,50.71636762,22
March,0,P35,35,CO2,N,C,R,In,N,405.834,47.86,357.974,11.79299911,88.20700089,21.6,11.79299911,9
July,3,P9,9,CO2,N,C,L,In,Y,442.736,13.899,428.837,3.139342633,96.86065737,28.6,3.139342633,3
July,3,P15,15,CO2,N,C,R,In,Y,390.345,0,390.345,0,100,25.9,1.57282,5
July,3,P16,16,Heat,H,N,R,In,N,317.72,0,317.72,0,100,20.9,1.57282,19.5
July,3,P33,33,Heat,H,N,R,In,Y,412.645,11.576,401.069,2.805316919,97.19468308,22.5,2.805316919,25
July,3,P27,27,CO2,N,C,R,In,Y,382.752,12.04,370.712,3.145639997,96.85436,21.6,3.145639997,12.5
July,3,P35,35,CO2,N,C,R,In,N,408.541,270.417,138.124,66.19090862,33.80909138,23.6,66.19090862,9
September,6,P9,9,CO2,N,C,L,In,Y,433.087,311.078,122.009,71.82806226,28.17193774,24.6,71.82806226,3
September,6,P7,7,Control,N,N,R,In,Y,369.943,0,369.943,0,100,20.8,1.57282,28
September,6,P10,10,Control,N,N,R,In,Y,375.956,0,375.956,0,100,21.1,1.57282,5.5
September,6,P31,31,Control,N,N,R,In,Y,364.505,0,364.505,0,100,20.6,1.57282,6.5
September,6,P8,8,Heat,H,N,L,In,Y,358.924,175.022,183.902,48.76296932,51.23703068,21.3,51.23703068,7
September,6,P13,13,Heat,H,N,R,In,Y,359.819,0,359.819,0,100,20.3,1.57282,22
September,6,P33,33,Heat,H,N,R,In,Y,371.171,0,371.171,0,100,22.6,1.57282,25
September,6,P15,15,CO2,N,C,R,In,Y,397.793,229.796,167.997,57.76773347,42.23226653,21.3,57.76773347,5
September,6,P27,27,CO2,N,C,R,In,Y,430.4,216.51,213.89,50.30436803,49.69563197,21.9,50.30436803,12.5
September,6,P5,5,Both,H,C,R,In,Y,452.518,221.769,230.749,49.00777428,50.99222572,24.9,49.00777428,8
September,6,P11,11,Both,H,C,R,In,Y,363.317,177.644,185.673,48.89504207,51.10495793,22.2,48.89504207,14
