Month,Timepoint,Mussel_ID,Pool,Treatment,Heat,CO2,Valve,Side,ThreeTrials,Outer_TA,Corroded_Area,Uncorroded_Area,Per_Corroded,Per_Uncorroded,SL,Volume
March,0,P5,5,Both,H,C,R,Out,Y,365.06,258.445,106.615,70.79521175,29.20478825,20.73,8
March,0,P8,8,Heat,H,N,R,Out,Y,338.171,306.572,31.599,90.65591077,9.344089233,20.6,7
March,0,P13,13,Heat,H,N,R,Out,Y,356.045,50.795,305.25,14.26645508,85.73354492,20.41,22
March,0,P7,7,Control,N,N,R,Out,Y,411.541,316.436,95.105,76.89051638,23.10948362,22.65,28
March,0,P10,10,Control,N,N,R,Out,Y,309.212,261.124,48.088,84.44821029,15.55178971,20.22,5.5
March,0,P31,31,Control,N,N,R,Out,Y,311.54,263.66,47.88,84.63118701,15.36881299,21.77,6.5
March,0,P16,16,Heat,H,N,L,Out,N,323.962,171.887,152.075,53.05776603,46.94223397,19.5,19.5
March,0,P11,11,Both,H,C,R,Out,Y,429.389,30.754,398.635,7.162270109,92.83772989,23.18,14
March,0,P33,33,Heat,H,N,L,Out,Y,412.956,187.118,225.838,45.3118492,54.6881508,23.4,25
March,0,P9,9,CO2,N,C,R,Out,Y,342.119,194.939,147.18,56.97988127,43.02011873,23.51,3
March,0,P15,15,CO2,N,C,R,Out,Y,407.706,278.142,129.564,68.22121823,31.77878177,23.22,5
March,0,P27,27,CO2,N,C,R,Out,Y,378.466,245.099,133.367,64.76116745,35.23883255,22.72,12.5
July,3,P7,7,Control,N,N,R,Out,Y,380.546,342.287,38.259,89.9462877,10.0537123,22.4,28
July,3,P10,10,Control,N,N,R,Out,Y,398.656,314.814,83.842,78.96883529,21.03116471,26,5.5
July,3,P31,31,Control,N,N,R,Out,Y,369.96,272.63,97.33,73.69175046,26.30824954,23.8,6.5
March,0,P36,36,Both,H,C,R,Out,N,369.42,337.851,31.569,91.4544421,8.545557902,24,19.5
July,3,P5,5,Both,H,C,R,Out,Y,389.066,389.066,0,100,0,24,8
July,3,P11,11,Both,H,C,R,Out,Y,482428,179324,303104,37.17114264,62.82885736,24.2,14
July,3,P8,8,Heat,H,N,R,Out,Y,385.596,316.217,69.379,82.0073341,17.9926659,26,7
July,3,P13,13,Heat,H,N,R,Out,Y,411.225,238.983,172.242,58.1149006,41.8850994,24,22
July,3,P16,16,Heat,H,N,R,Out,N,361.174,21.911,339.263,6.066605016,93.93339498,20.9,19.5
March,0,P35,35,CO2,N,C,R,Out,N,363.464,273.014,90.45,75.11445425,24.88554575,21.6,9
July,3,P9,9,CO2,N,C,L,Out,Y,587.48,558.423,29.057,95.05395928,4.946040716,28.6,3
July,3,P15,15,CO2,N,C,R,Out,Y,449.025,397.532,51.493,88.53226435,11.46773565,25.9,5
July,3,P33,33,Heat,H,N,R,Out,Y,403.395,140.179,263.216,34.74981098,65.25018902,22.5,25
July,3,P36,36,Both,H,C,R,Out,N,453.214,453.214,0,100,0,23.6,19.5
July,3,P27,27,CO2,N,C,R,Out,Y,360.067,292.916,67.151,81.35041534,18.64958466,21.6,12.5
July,3,P35,35,CO2,N,C,R,Out,N,424.103,198.483,225.62,46.80065927,53.19934073,23.6,9
September,6,P9,9,CO2,N,C,L,Out,Y,422.78,382.023,40.757,90.35976158,9.640238422,24.6,3
September,6,P7,7,Control,N,N,R,Out,Y,345.97,215.078,130.892,62.16666185,37.83333815,20.8,28
September,6,P10,10,Control,N,N,R,Out,Y,320.216,88.274,231.942,27.56701726,72.43298274,21.1,5.5
September,6,P31,31,Control,N,N,R,Out,Y,313.211,264.841,48.37,84.55673651,15.44326349,20.6,6.5
September,6,P5,5,Both,H,C,R,Out,Y,410.719,342.061,68.658,83.28346144,16.71653856,24.9,8
September,6,P11,11,Both,H,C,R,Out,Y,328.603,290.049,38.554,88.26730127,11.73269873,22.2,14
September,6,P8,8,Heat,H,N,R,Out,Y,355.842,301.158,54.684,84.63250544,15.36749456,21.3,7
September,6,P15,15,CO2,N,C,R,Out,Y,319.87,330.422,-10.552,103.2988402,-3.298840154,21.3,5
September,6,P27,27,CO2,N,C,R,Out,Y,407.841,407.841,0,100,0,21.9,12.5
September,6,P13,13,Heat,H,N,R,Out,Y,342.584,237.473,105.111,69.31818182,30.68181818,20.3,22
September,6,P33,33,Heat,H,N,R,Out,Y,386.192,373.908,12.284,96.81919874,3.180801259,22.6,25
