Date_Measured,Month,Timepoint,Species,Mussel_ID,Pool,Treatment,Heat,CO2,Total_L,Side,Final_LipA,Final_MidB,Final_BaseC,StandardA,StandardB,StandardC,ThreeTrials,Volume
5-Mar-20,March,0,Mussel,P5,5,Both,H,C,20.73,1,0.327,0.231333333,0.448333333,0.01577424,0.01115935,0.021627271,Y,8
5-Mar-20,March,0,Mussel,P7,7,Control,N,N,22.65,1,0.390333333,0.281666667,0.606,0.01723326,0.012435614,0.026754967,Y,28
5-Mar-20,March,0,Mussel,P8,8,Heat,H,N,20.6,1,0.355,0.281666667,0.637666667,0.01723301,0.013673139,0.030954693,Y,7
17-Jun-22,March,0,Mussel,P10,10,Control,N,N,20.22,1,0.431,0.505,0.639,0.021315529,0.024975272,0.031602374,Y,5.5
5-Mar-20,March,0,Mussel,P9,9,CO2,N,C,23.51,1,0.28,0.264,0.381,0.011909826,0.011229264,0.01620587,Y,3
5-Mar-20,March,0,Mussel,P11,11,Both,H,C,23.18,1,0.272,0.455,0.548333333,0.011734254,0.019628991,0.02365545,Y,14
5-Mar-20,March,0,Mussel,P13,13,Heat,H,N,20.41,1,0.217333333,0.249666667,0.458333333,0.010648375,0.012232566,0.022456312,Y,22
5-Mar-20,March,0,Mussel,P15,15,CO2,N,C,23.22,1,0.406666667,0.379,0.713333333,0.017513638,0.016322136,0.030720643,Y,5
5-Mar-20,March,0,Mussel,P16,16,Heat,H,N,19.5,1,0.293666667,0.303666667,0.452333333,0.015059829,0.01557265,0.023196581,N,19.5
5-Mar-20,March,0,Mussel,P27,27,CO2,N,C,22.72,1,0.323333333,0.453333333,0.503,0.014231221,0.019953052,0.022139085,Y,12.5
5-Mar-20,March,0,Mussel,P31,31,Control,N,N,21.77,1,0.358333333,0.414,0.602333333,0.01645996,0.019016996,0.027668045,Y,6.5
5-Mar-20,March,0,Mussel,P33,33,Heat,H,N,23.4,1,0.3,0.280333333,0.484333333,0.012820513,0.011980057,0.020698006,Y,25
5-Mar-20,March,0,Mussel,P35,35,CO2,N,C,21.6,1,0.302,0.298333333,0.509,0.013981481,0.013811728,0.023564815,N,9
