Sample,Date,Month,Year,DayNight,OnOff,Timepoint,Completed,MissingT,Pool,Treatment,Heat,CO2,SA,Volume,DeltaVolume,Time.water.collected,Time.water.collected2,Temp,HannapH_raw,Salinity,DO,Light,HannapH,Raw.TA,CorrectedTA,CorrectedNN,CorrectedNitrite,CalculatedNitrate,Phosphate,NH4
2199,7/8/19,July,2019,Day,On,1,Y,N,5,Warming + CO2,H,C,0.19,0.008,0.00775,9:38,9:38:00,16.3,-36,30.17,10.07,213,7.38,1903.49,1918.442004,1.03,0.0973,0.9327,1.14,6.519553073
2198,7/8/19,July,2019,Day,On,1,Y,N,7,Unmanipulated,N,N,0.45,0.028,0.02775,9:33,9:33:00,16.6,-80.1,30.35,11.39,232,8.14,1942.98,1941.286299,0.196,0,0.196,0.0543,2.608938547
2197,7/8/19,July,2019,Day,On,1,Y,N,8,Warming,H,N,0.23,0.007,0.00675,9:30,9:30:00,16.6,-59.2,30.3,7.54,183,7.78,1955.42,1953.715455,0.55,0.136,0.414,0.716,4.173184358
2196,7/8/19,July,2019,Day,On,1,Y,N,9,CO2,N,C,0.135,0.003,0.00275,9:25,9:25:00,16.3,-11.4,30.25,3.64,112,6.95,1953.68,1951.976972,3.48,0.378,3.102,4.36,19.98324022
2195,7/8/19,July,2019,Day,On,1,Y,N,10,Unmanipulated,N,N,0.14,0.0055,0.00525,9:21,9:21:00,16,-71,30.24,9.18,132,7.99,1734.24,1747.862537,1.89,0.0214,1.8686,1.2,5.804469274
2194,7/8/19,July,2019,Day,On,1,Y,N,11,Warming + CO2,H,C,0.32,0.014,0.01375,9:15,9:15:00,16.1,-70.6,30.47,8.19,186,7.98,1865.69,1880.345083,0.527,0.0118,0.5152,0.312,1.770949721
2193,7/8/19,July,2019,Day,On,1,Y,N,13,Warming,H,N,0.48,0.022,0.02175,9:10,9:10:00,16.2,-71.1,30.39,9.97,106,7.99,1922.06,1920.384535,1.43,0.367,1.063,0.912,2.888268156
2192,7/8/19,July,2019,Day,On,1,Y,N,15,CO2,N,C,0.11,0.005,0.00475,9:06,9:06:00,16.2,-12.5,30.46,8.57,167,6.97,2141.68,2139.813092,2.15,0.0067,2.1433,1.43,6.865921788
2191,7/8/19,July,2019,Day,On,1,Y,N,16,Warming,H,N,0.22,0.0195,0.01925,9:02,9:02:00,16,-55.7,30.31,6.6,98,7.72,1958.69,1974.075603,1.15,0,1.15,0.416,4.575418994
2186,7/8/19,July,2019,Day,On,1,Y,N,27,CO2,N,C,0.28,0.0125,0.01225,8:37,8:37:00,16.3,-27.2,30.34,8.15,127,7.23,2374.75,2372.679924,0.0939,0,0.0939,0.319,2.578651685
